customer_id,customer_name,customer_segment,order_id,order_date,order_year,order_month,month_name,month-year,order_day,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_year,shipping_month,shipping_day,shipping_mode,order_details_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,product_id,product_name,product_category,product_subcategory,product_manufacturer
564,Neil Französisch,Home Office,CA-2015-100293,3/14/2015,2015,3,Mar,Mar-2015,14,Jacksonville,Florida,South,United States,32216,3/18/2015,2015,3,18,Standard Class,15,6,0.2,32,0.35,91,1677,Xerox 1887,Office Supplies,Paper,Xerox
355,Jasper Cacioppo,Consumer,CA-2015-100328,1/28/2015,2015,1,Jan,Jan-2015,28,New York City,New York,East,United States,10024,2/3/2015,2015,2,3,Standard Class,16,1,0.2,1,0.34,4,1313,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard
376,Jim Mitchum,Corporate,CA-2015-100363,4/8/2015,2015,4,Apr,Apr-2015,8,Glendale,Arizona,West,United States,85301,4/15/2015,2015,4,15,Standard Class,17,2,0.2,1,0.35,2,326,Binder Clips by OIC,Office Supplies,Fasteners,OIC
376,Jim Mitchum,Corporate,CA-2015-100363,4/8/2015,2015,4,Apr,Apr-2015,8,Glendale,Arizona,West,United States,85301,4/15/2015,2015,4,15,Standard Class,18,3,0.2,7,0.36,19,1568,Things To Do Today Spiral Book,Office Supplies,Paper,Things To Do
71,Barry Weirich,Consumer,CA-2015-100391,5/25/2015,2015,5,May,May-2015,25,New York City,New York,East,United States,10035,5/29/2015,2015,5,29,Standard Class,19,2,0,7,0.46,15,1523,Strathmore Photo Frame Cards,Office Supplies,Paper,Strathmore
447,Kunst Miller,Consumer,CA-2015-100678,4/18/2015,2015,4,Apr,Apr-2015,18,Houston,Texas,Central,United States,77095,4/22/2015,2015,4,22,Standard Class,20,2,0.2,1,0.38,3,1306,Prang Dustless Chalk Sticks,Office Supplies,Art,Prang
447,Kunst Miller,Consumer,CA-2015-100678,4/18/2015,2015,4,Apr,Apr-2015,18,Houston,Texas,Central,United States,77095,4/22/2015,2015,4,22,Standard Class,21,3,0.2,50,0.34,149,396,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other
447,Kunst Miller,Consumer,CA-2015-100678,4/18/2015,2015,4,Apr,Apr-2015,18,Houston,Texas,Central,United States,77095,4/22/2015,2015,4,22,Standard Class,22,3,0.2,28,0.13,228,956,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,Kensington
447,Kunst Miller,Consumer,CA-2015-100678,4/18/2015,2015,4,Apr,Apr-2015,18,Houston,Texas,Central,United States,77095,4/22/2015,2015,4,22,Standard Class,23,3,0.3,-18,-0.06,317,529,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,DMI
453,Laurel Elliston,Consumer,CA-2015-100706,12/16/2015,2015,12,Dec,Dec-2015,16,Springfield,Virginia,South,United States,22153,12/18/2015,2015,12,18,Second Class,24,6,0,10,0.33,29,1595,Ultra Door Push Plate,Furniture,Furnishings,Ultra
453,Laurel Elliston,Consumer,CA-2015-100706,12/16/2015,2015,12,Dec,Dec-2015,16,Springfield,Virginia,South,United States,22153,12/18/2015,2015,12,18,Second Class,25,2,0,8,0.08,100,421,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other
556,Nat Gilpin,Corporate,CA-2015-100762,11/24/2015,2015,11,Nov,Nov-2015,24,Jackson,Michigan,Central,United States,49201,11/29/2015,2015,11,29,Standard Class,26,2,0,8,0.5,16,97,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Adams
556,Nat Gilpin,Corporate,CA-2015-100762,11/24/2015,2015,11,Nov,Nov-2015,24,Jackson,Michigan,Central,United States,49201,11/29/2015,2015,11,29,Standard Class,27,3,0,69,0.48,144,1675,Xerox 1885,Office Supplies,Paper,Xerox
556,Nat Gilpin,Corporate,CA-2015-100762,11/24/2015,2015,11,Nov,Nov-2015,24,Jackson,Michigan,Central,United States,49201,11/29/2015,2015,11,29,Standard Class,28,4,0,46,0.3,152,889,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt
556,Nat Gilpin,Corporate,CA-2015-100762,11/24/2015,2015,11,Nov,Nov-2015,24,Jackson,Michigan,Central,United States,49201,11/29/2015,2015,11,29,Standard Class,29,2,0,96,0.49,197,532,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,Other
166,Cindy Stewart,Consumer,CA-2015-100860,3/26/2015,2015,3,Mar,Mar-2015,26,Pomona,California,West,United States,91767,3/30/2015,2015,3,30,Second Class,30,5,0,9,0.48,19,1462,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,Smead
274,Eugene Hildebrand,Home Office,CA-2015-100867,10/19/2015,2015,10,Oct,Oct-2015,19,Lakewood,California,West,United States,90712,10/24/2015,2015,10,24,Standard Class,31,6,0.2,20,0.06,322,1335,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,RCA
195,Daniel Raglin,Home Office,CA-2015-100881,3/28/2015,2015,3,Mar,Mar-2015,28,Albuquerque,New Mexico,West,United States,87105,4/1/2015,2015,4,1,Standard Class,32,3,0.2,23,0.08,302,163,AT&T TR1909W,Technology,Phones,AT&T
718,Stewart Visinsky,Consumer,CA-2015-100895,6/2/2015,2015,6,Jun,Jun-2015,2,Roswell,Georgia,South,United States,30076,6/6/2015,2015,6,6,Standard Class,33,2,0,3,0.31,9,1414,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,Sanford
718,Stewart Visinsky,Consumer,CA-2015-100895,6/2/2015,2015,6,Jun,Jun-2015,2,Roswell,Georgia,South,United States,30076,6/6/2015,2015,6,6,Standard Class,34,3,0,67,0.28,240,1103,Mophie Juice Pack Helium for iPhone,Technology,Phones,Other
718,Stewart Visinsky,Consumer,CA-2015-100895,6/2/2015,2015,6,Jun,Jun-2015,2,Roswell,Georgia,South,United States,30076,6/6/2015,2015,6,6,Standard Class,35,2,0,107,0.3,357,866,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,Other
284,Frank Hawley,Corporate,CA-2015-100916,10/21/2015,2015,10,Oct,Oct-2015,21,Newport News,Virginia,South,United States,23602,10/26/2015,2015,10,26,Standard Class,36,1,0,1,0.31,3,1417,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Art,Sanford
284,Frank Hawley,Corporate,CA-2015-100916,10/21/2015,2015,10,Oct,Oct-2015,21,Newport News,Virginia,South,United States,23602,10/26/2015,2015,10,26,Standard Class,37,5,0,10,0.05,195,557,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Eldon
284,Frank Hawley,Corporate,CA-2015-100916,10/21/2015,2015,10,Oct,Oct-2015,21,Newport News,Virginia,South,United States,23602,10/26/2015,2015,10,26,Standard Class,38,4,0,112,0.19,591,820,Hon 2111 Invitation Series Straight Table,Furniture,Tables,Hon
223,Dennis Bolton,Home Office,CA-2015-100972,11/19/2015,2015,11,Nov,Nov-2015,19,Salt Lake City,Utah,West,United States,84106,11/24/2015,2015,11,24,Second Class,39,3,0,80,0.48,166,1678,Xerox 1888,Office Supplies,Paper,Xerox
504,Matt Collins,Consumer,CA-2015-101147,12/2/2015,2015,12,Dec,Dec-2015,2,Chicago,Illinois,Central,United States,60623,12/4/2015,2015,12,4,First Class,40,1,0.8,-6,-2.65,2,1502,Staple holder,Office Supplies,Appliances,Staple holder
196,Dario Medina,Corporate,CA-2015-101175,12/9/2015,2015,12,Dec,Dec-2015,9,Mesa,Arizona,West,United States,85204,12/14/2015,2015,12,14,Standard Class,41,6,0.2,-1,-0.01,101,53,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,Acco
527,Michael Moore,Consumer,CA-2015-101266,8/27/2015,2015,8,Aug,Aug-2015,27,Springfield,Virginia,South,United States,22153,8/30/2015,2015,8,30,Second Class,42,2,0,6,0.48,13,1689,Xerox 1898,Office Supplies,Paper,Xerox
734,Tamara Willingham,Home Office,CA-2015-101364,12/22/2015,2015,12,Dec,Dec-2015,22,New York City,New York,East,United States,10011,12/26/2015,2015,12,26,Standard Class,43,13,0.2,100,0.34,297,999,Lock-Up Easel 'Spel-Binder',Office Supplies,Binders,Other
42,Ann Steele,Home Office,CA-2015-101392,12/7/2015,2015,12,Dec,Dec-2015,7,Seattle,Washington,West,United States,98103,12/13/2015,2015,12,13,Standard Class,44,7,0,70,0.26,269,112,Advantus Rolling Drawer Organizers,Office Supplies,Storage,Advantus
37,Andy Yotov,Corporate,CA-2015-101427,12/26/2015,2015,12,Dec,Dec-2015,26,Philadelphia,Pennsylvania,East,United States,19140,12/30/2015,2015,12,30,Standard Class,45,3,0.2,1,0.14,8,590,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Office Supplies,Art,Eldon
82,Benjamin Patterson,Consumer,CA-2015-101462,4/20/2015,2015,4,Apr,Apr-2015,20,Los Angeles,California,West,United States,90045,4/25/2015,2015,4,25,Standard Class,46,4,0,28,0.46,60,727,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,GE
698,Shirley Daniels,Home Office,CA-2015-101476,9/12/2015,2015,9,Sep,Sep-2015,12,New Rochelle,New York,East,United States,10801,9/13/2015,2015,9,13,First Class,47,1,0,30,0.43,70,605,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Machines,Epson
149,Chris Selesnick,Corporate,CA-2015-101560,11/28/2015,2015,11,Nov,Nov-2015,28,Columbia,South Carolina,South,United States,29203,12/1/2015,2015,12,1,Second Class,48,4,0,4,0.33,13,475,Crayola Colored Pencils,Office Supplies,Art,Crayola
149,Chris Selesnick,Corporate,CA-2015-101560,11/28/2015,2015,11,Nov,Nov-2015,28,Columbia,South Carolina,South,United States,29203,12/1/2015,2015,12,1,Second Class,49,3,0,22,0.49,46,715,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,GBC
149,Chris Selesnick,Corporate,CA-2015-101560,11/28/2015,2015,11,Nov,Nov-2015,28,Columbia,South Carolina,South,United States,29203,12/1/2015,2015,12,1,Second Class,50,7,0,40,0.47,86,1728,Xerox 1933,Office Supplies,Paper,Xerox
149,Chris Selesnick,Corporate,CA-2015-101560,11/28/2015,2015,11,Nov,Nov-2015,28,Columbia,South Carolina,South,United States,29203,12/1/2015,2015,12,1,Second Class,51,5,0,44,0.11,398,559,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,Eldon
539,Mick Crebagga,Consumer,CA-2015-101602,12/15/2015,2015,12,Dec,Dec-2015,15,El Paso,Texas,Central,United States,79907,12/18/2015,2015,12,18,First Class,52,3,0.2,-9,-0.23,41,147,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,Other
539,Mick Crebagga,Consumer,CA-2015-101602,12/15/2015,2015,12,Dec,Dec-2015,15,El Paso,Texas,Central,United States,79907,12/18/2015,2015,12,18,First Class,53,5,0.3,-22,-0.03,763,996,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,Other
415,Karen Bern,Corporate,CA-2015-101770,3/31/2015,2015,3,Mar,Mar-2015,31,Miami,Florida,South,United States,33180,4/4/2015,2015,4,4,Standard Class,54,1,0.7,-1,-0.7,2,257,Avery Hole Reinforcements,Office Supplies,Binders,Avery
283,Frank Gastineau,Home Office,CA-2015-101833,11/17/2015,2015,11,Nov,Nov-2015,17,New York City,New York,East,United States,10024,11/22/2015,2015,11,22,Second Class,55,3,0,17,0.5,34,1475,Southworth 100% Cotton The Best Paper,Office Supplies,Paper,Southworth
757,Todd Sumrall,Corporate,CA-2015-101931,10/28/2015,2015,10,Oct,Oct-2015,28,Los Angeles,California,West,United States,90049,10/31/2015,2015,10,31,First Class,56,2,0,0,0.01,6,1445,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,Supplies,Other
757,Todd Sumrall,Corporate,CA-2015-101931,10/28/2015,2015,10,Oct,Oct-2015,28,Los Angeles,California,West,United States,90049,10/31/2015,2015,10,31,First Class,57,2,0.2,2,0.31,7,260,Avery Non-Stick Binders,Office Supplies,Binders,Avery
757,Todd Sumrall,Corporate,CA-2015-101931,10/28/2015,2015,10,Oct,Oct-2015,28,Los Angeles,California,West,United States,90049,10/31/2015,2015,10,31,First Class,58,5,0,38,0.27,141,583,Eldon Portable Mobile Manager,Office Supplies,Storage,Eldon
757,Todd Sumrall,Corporate,CA-2015-101931,10/28/2015,2015,10,Oct,Oct-2015,28,Los Angeles,California,West,United States,90049,10/31/2015,2015,10,31,First Class,59,2,0,14,0.03,481,1307,Premier Automatic Letter Opener,Office Supplies,Supplies,Other
757,Todd Sumrall,Corporate,CA-2015-101931,10/28/2015,2015,10,Oct,Oct-2015,28,Los Angeles,California,West,United States,90049,10/31/2015,2015,10,31,First Class,60,6,0.15,-36,-0.06,617,1196,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,O'Sullivan
660,Russell Applegate,Consumer,CA-2015-102008,9/30/2015,2015,9,Sep,Sep-2015,30,New York City,New York,East,United States,10011,10/4/2015,2015,10,4,Standard Class,61,1,0,24,0.5,49,1572,Tops Green Bar Computer Printout Paper,Office Supplies,Paper,Other
400,Joy Daniels,Consumer,CA-2015-102085,10/4/2015,2015,10,Oct,Oct-2015,4,Seattle,Washington,West,United States,98115,10/9/2015,2015,10,9,Standard Class,62,4,0,14,0.47,29,230,Avery 519,Office Supplies,Labels,Avery
204,Dave Hallsten,Corporate,CA-2015-102274,11/21/2015,2015,11,Nov,Nov-2015,21,Richmond,Kentucky,South,United States,40475,11/26/2015,2015,11,26,Standard Class,63,3,0,1,0.27,5,1137,Newell 322,Office Supplies,Art,Newell
204,Dave Hallsten,Corporate,CA-2015-102274,11/21/2015,2015,11,Nov,Nov-2015,21,Richmond,Kentucky,South,United States,40475,11/26/2015,2015,11,26,Standard Class,64,1,0,10,0.27,37,1001,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,Logitech
204,Dave Hallsten,Corporate,CA-2015-102274,11/21/2015,2015,11,Nov,Nov-2015,21,Richmond,Kentucky,South,United States,40475,11/26/2015,2015,11,26,Standard Class,65,3,0,10,0.05,194,1483,Space Solutions Commercial Steel Shelving,Office Supplies,Storage,Space Solutions
204,Dave Hallsten,Corporate,CA-2015-102274,11/21/2015,2015,11,Nov,Nov-2015,21,Richmond,Kentucky,South,United States,40475,11/26/2015,2015,11,26,Standard Class,66,6,0,302,0.48,629,1111,Multicolor Computer Printout Paper,Office Supplies,Paper,Other
265,Erica Hackney,Consumer,CA-2015-102295,11/24/2015,2015,11,Nov,Nov-2015,24,Sacramento,California,West,United States,95823,11/26/2015,2015,11,26,Second Class,67,1,0.2,-18,-0.15,121,758,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,Global
57,Arianne Irving,Consumer,CA-2015-102330,12/29/2015,2015,12,Dec,Dec-2015,29,Brentwood,California,West,United States,94513,1/3/2016,2016,1,3,Standard Class,68,6,0,44,0.5,89,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
57,Arianne Irving,Consumer,CA-2015-102330,12/29/2015,2015,12,Dec,Dec-2015,29,Brentwood,California,West,United States,94513,1/3/2016,2016,1,3,Standard Class,69,4,0.2,36,0.11,320,884,HTC One,Technology,Phones,HTC
336,Ionia McGrath,Consumer,CA-2015-102645,1/23/2015,2015,1,Jan,Jan-2015,23,Las Vegas,Nevada,West,United States,89115,1/28/2015,2015,1,28,Standard Class,70,6,0,19,0.48,40,1746,Xerox 195,Office Supplies,Paper,Xerox
37,Andy Yotov,Corporate,CA-2015-102652,4/6/2015,2015,4,Apr,Apr-2015,6,Los Angeles,California,West,United States,90049,4/12/2015,2015,4,12,Standard Class,71,3,0,9,0.48,19,1815,Xerox 211,Office Supplies,Paper,Xerox
37,Andy Yotov,Corporate,CA-2015-102652,4/6/2015,2015,4,Apr,Apr-2015,6,Los Angeles,California,West,United States,90049,4/12/2015,2015,4,12,Standard Class,72,7,0,13,0.39,33,393,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,C-Line
37,Andy Yotov,Corporate,CA-2015-102652,4/6/2015,2015,4,Apr,Apr-2015,6,Los Angeles,California,West,United States,90049,4/12/2015,2015,4,12,Standard Class,73,1,0,27,0.48,55,1735,Xerox 194,Office Supplies,Paper,Xerox
37,Andy Yotov,Corporate,CA-2015-102652,4/6/2015,2015,4,Apr,Apr-2015,6,Los Angeles,California,West,United States,90049,4/12/2015,2015,4,12,Standard Class,74,2,0,16,0.17,92,1537,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,Tenex
441,Ken Heidel,Corporate,CA-2015-102673,11/1/2015,2015,11,Nov,Nov-2015,1,Charlotte,North Carolina,South,United States,28205,11/5/2015,2015,11,5,Standard Class,75,5,0.2,1,0.19,8,1507,Staples,Office Supplies,Fasteners,Other
441,Ken Heidel,Corporate,CA-2015-102673,11/1/2015,2015,11,Nov,Nov-2015,1,Charlotte,North Carolina,South,United States,28205,11/5/2015,2015,11,5,Standard Class,76,3,0.2,1,0.09,10,1135,Newell 320,Office Supplies,Art,Newell
441,Ken Heidel,Corporate,CA-2015-102673,11/1/2015,2015,11,Nov,Nov-2015,1,Charlotte,North Carolina,South,United States,28205,11/5/2015,2015,11,5,Standard Class,77,12,0.2,16,0.33,48,224,Avery 513,Office Supplies,Labels,Avery
441,Ken Heidel,Corporate,CA-2015-102673,11/1/2015,2015,11,Nov,Nov-2015,1,Charlotte,North Carolina,South,United States,28205,11/5/2015,2015,11,5,Standard Class,78,9,0.2,110,0.11,979,435,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Phones,Cisco
475,Logan Currie,Consumer,CA-2015-102869,9/9/2015,2015,9,Sep,Sep-2015,9,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,2015,9,14,Second Class,79,3,0.2,5,0.35,16,1814,Xerox 210,Office Supplies,Paper,Xerox
475,Logan Currie,Consumer,CA-2015-102869,9/9/2015,2015,9,Sep,Sep-2015,9,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,2015,9,14,Second Class,80,3,0.2,5,0.29,17,1056,"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings,Master Caster
475,Logan Currie,Consumer,CA-2015-102869,9/9/2015,2015,9,Sep,Sep-2015,9,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,2015,9,14,Second Class,81,6,0.2,-5,-0.08,65,1363,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Technology,Accessories,Other
475,Logan Currie,Consumer,CA-2015-102869,9/9/2015,2015,9,Sep,Sep-2015,9,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,2015,9,14,Second Class,82,1,0.4,-32,-0.23,136,1295,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,Polycom
312,Greg Maxwell,Corporate,CA-2015-102988,4/5/2015,2015,4,Apr,Apr-2015,5,Alexandria,Virginia,South,United States,22304,4/9/2015,2015,4,9,Second Class,83,2,0,6,0.49,13,1754,Xerox 1957,Office Supplies,Paper,Xerox
312,Greg Maxwell,Corporate,CA-2015-102988,4/5/2015,2015,4,Apr,Apr-2015,5,Alexandria,Virginia,South,United States,22304,4/9/2015,2015,4,9,Second Class,84,7,0,8,0.33,23,475,Crayola Colored Pencils,Office Supplies,Art,Crayola
312,Greg Maxwell,Corporate,CA-2015-102988,4/5/2015,2015,4,Apr,Apr-2015,5,Alexandria,Virginia,South,United States,22304,4/9/2015,2015,4,9,Second Class,85,7,0,7,0.29,23,1136,Newell 321,Office Supplies,Art,Newell
312,Greg Maxwell,Corporate,CA-2015-102988,4/5/2015,2015,4,Apr,Apr-2015,5,Alexandria,Virginia,South,United States,22304,4/9/2015,2015,4,9,Second Class,86,1,0,8,0.29,29,159,AT&T CL82213,Technology,Phones,AT&T
312,Greg Maxwell,Corporate,CA-2015-102988,4/5/2015,2015,4,Apr,Apr-2015,5,Alexandria,Virginia,South,United States,22304,4/9/2015,2015,4,9,Second Class,87,5,0,83,0.02,4164,1050,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,Martin-Yale
18,Alejandro Grove,Consumer,CA-2015-103058,7/23/2015,2015,7,Jul,Jul-2015,23,New York City,New York,East,United States,10011,7/24/2015,2015,7,24,First Class,88,2,0,8,0.08,100,421,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other
277,Evan Bailliet,Consumer,CA-2015-103086,10/17/2015,2015,10,Oct,Oct-2015,17,Houston,Texas,Central,United States,77095,10/19/2015,2015,10,19,Second Class,89,2,0.6,-2,-0.3,5,678,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Furnishings,G. E.
7,Adrian Barton,Consumer,CA-2015-103100,12/20/2015,2015,12,Dec,Dec-2015,20,Indianapolis,Indiana,Central,United States,46203,12/23/2015,2015,12,23,First Class,90,1,0,2,0.47,4,195,Avery 487,Office Supplies,Labels,Avery
7,Adrian Barton,Consumer,CA-2015-103100,12/20/2015,2015,12,Dec,Dec-2015,20,Indianapolis,Indiana,Central,United States,46203,12/23/2015,2015,12,23,First Class,91,3,0,497,0.45,1104,898,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,Ibico
785,Vivek Grady,Corporate,CA-2015-103191,9/22/2015,2015,9,Sep,Sep-2015,22,Chicago,Illinois,Central,United States,60653,9/27/2015,2015,9,27,Standard Class,92,3,0.2,-83,-0.25,332,1377,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,SAFCO
81,Benjamin Farhat,Home Office,CA-2015-103219,11/9/2015,2015,11,Nov,Nov-2015,9,New York City,New York,East,United States,10035,11/13/2015,2015,11,13,Standard Class,93,9,0,21,0.38,57,548,"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,Eldon
311,Greg Matthias,Consumer,CA-2015-103310,5/10/2015,2015,5,May,May-2015,10,San Jose,California,West,United States,95123,5/15/2015,2015,5,15,Standard Class,94,2,0,19,0.48,40,1480,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper,Southworth
311,Greg Matthias,Consumer,CA-2015-103310,5/10/2015,2015,5,May,May-2015,10,San Jose,California,West,United States,95123,5/15/2015,2015,5,15,Standard Class,95,6,0,11,0.27,41,75,Acme Design Stainless Steel Bent Scissors,Office Supplies,Supplies,Acme
311,Greg Matthias,Consumer,CA-2015-103310,5/10/2015,2015,5,May,May-2015,10,San Jose,California,West,United States,95123,5/15/2015,2015,5,15,Standard Class,96,1,0.2,32,0.13,257,846,Hon Pagoda Stacking Chairs,Furniture,Chairs,Hon
311,Greg Matthias,Consumer,CA-2015-103310,5/10/2015,2015,5,May,May-2015,10,San Jose,California,West,United States,95123,5/15/2015,2015,5,15,Standard Class,97,5,0.2,125,0.09,1432,1629,Wilson Electronics DB Pro Signal Booster,Technology,Phones,Other
234,Don Miller,Corporate,CA-2015-103317,7/5/2015,2015,7,Jul,Jul-2015,5,Palm Coast,Florida,South,United States,32137,7/8/2015,2015,7,8,First Class,98,5,0.7,-7,-0.7,10,1641,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders,Wilson Jones
234,Don Miller,Corporate,CA-2015-103317,7/5/2015,2015,7,Jul,Jul-2015,5,Palm Coast,Florida,South,United States,32137,7/8/2015,2015,7,8,First Class,99,2,0.2,5,0.28,20,108,Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,Advantus
